,d,K,norm,sigma,n,trial,loc_median,scale_iqr,skew_quantile,loc_mle,scale_mle,kappa_mle
78,2.0,-2.0,0.0,0.125,16.0,8.0,-0.008650239557027817,0.10622452944517136,-0.8371329183153933,6.56623299710773e-08,0.06484272716223437,1.725072871474561
79,2.0,-2.0,0.0,0.125,16.0,9.0,-0.014154312666505575,0.18720471858978271,-0.8487825224371445,1.3650305007800261e-08,0.09824566926887292,1.6834687653277807
80,2.0,-2.0,0.0,0.125,32.0,0.0,-0.029371012933552265,0.162365143885836,-0.574148167083986,7.327691804175935e-08,0.09065002582272694,1.58305369581961
81,2.0,-2.0,0.0,0.125,32.0,1.0,-0.03306395374238491,0.23210634791757911,-0.6679877163898199,0.0012806044572380311,0.12855861336514962,1.6534024950028114
82,2.0,-2.0,0.0,0.125,32.0,2.0,-0.03521214798092842,0.22929277713410556,-0.6512549821298173,4.843698726038583e-07,0.12323563928098147,1.5958047014749779
83,2.0,-2.0,0.0,0.125,32.0,3.0,-0.02322795893996954,0.1262219874188304,-0.5606712609468615,2.1408471083777181e-07,0.07376946138890171,1.5906515615600891
84,2.0,-2.0,0.0,0.125,32.0,4.0,-0.022845227271318436,0.16687287495005876,-0.6746445381270147,0.0019295958150401349,0.09160758187882899,1.6738029262227925
85,2.0,-2.0,0.0,0.125,32.0,5.0,-0.030788589268922806,0.18969655386172235,-0.6172172122118467,1.3041425699523896e-07,0.10457376771674162,1.579647031727999
86,2.0,-2.0,0.0,0.125,32.0,6.0,-0.024810586124658585,0.1717090317979455,-0.6665747994470871,0.0009115463845865604,0.0934054590959854,1.657128513701648
87,2.0,-2.0,0.0,0.125,32.0,7.0,-0.047585997730493546,0.3020422928966582,-0.6212531476973996,1.3146313906021673e-08,0.15574649728629492,1.5728192141296446
88,2.0,-2.0,0.0,0.125,32.0,8.0,-0.022195233963429928,0.16960557352285832,-0.6936052398291559,0.002242395958127576,0.09285688029990373,1.6888668871562906
89,2.0,-2.0,0.0,0.125,32.0,9.0,-0.027280340902507305,0.15204297355376184,-0.5839169935847515,6.635987570704716e-08,0.08462448046645527,1.56522464431743
90,2.0,-2.0,0.0,0.125,64.0,0.0,-0.01810562051832676,0.12877107237000018,-0.63884477585721,0.004356748680313594,0.07047804818585257,1.7036174677777833
91,2.0,-2.0,0.0,0.125,64.0,1.0,-0.04881526902318001,0.2178448298946023,-0.39240572101714466,0.004549473166049879,0.11672275141773272,1.5754343516158031
92,2.0,-2.0,0.0,0.125,64.0,2.0,-0.04488121718168259,0.24313200055621564,-0.5100895323227194,0.01470030744626006,0.12730550023049847,1.7326295805620489
93,2.0,-2.0,0.0,0.125,64.0,3.0,-0.041866857558488846,0.22306609549559653,-0.5269214327177099,0.0054778587402007145,0.12070040032349047,1.6409306513506747
94,2.0,-2.0,0.0,0.125,64.0,4.0,-0.02689054235816002,0.14721045340411365,-0.5221445751489888,0.0033031250521613504,0.08062333242853709,1.6079713755757978
95,2.0,-2.0,0.0,0.125,64.0,5.0,-0.03291196562349796,0.16462433128617704,-0.47754321039968256,0.004022932490195828,0.09143485501520154,1.6124045315491244
96,2.0,-2.0,0.0,0.125,64.0,6.0,-0.025021051988005638,0.14214471192099154,-0.536552659604796,0.004689469305821102,0.07727030292295331,1.6528886364092366
97,2.0,-2.0,0.0,0.125,64.0,7.0,-0.01863610651344061,0.10073630639817566,-0.5204675110279624,0.0025406103916920993,0.05661654664048403,1.626476950501031
98,2.0,-2.0,0.0,0.125,64.0,8.0,-0.042366158217191696,0.2208931464701891,-0.49040118987001596,0.008341564723774758,0.1155766956547043,1.647158357605338
99,2.0,-2.0,0.0,0.125,64.0,9.0,-0.04042719677090645,0.21248377719894052,-0.5101730904863183,0.004479422038662968,0.11667997762972598,1.616716081711322
100,2.0,-2.0,0.0,0.25,4.0,0.0,0.0,0.07356630265712738,-1.0,9.106731260460504e-09,0.059627505413979556,2.845718197736906
101,2.0,-2.0,0.0,0.25,4.0,1.0,0.0,0.09771556407213211,-1.0,5.526179641243125e-09,0.06670269961416117,2.6764892378491996
102,2.0,-2.0,0.0,0.25,4.0,2.0,0.0,0.03236241266131401,-1.0,2.7658982235305717e-08,0.04207777088475032,4.060382949879172
103,2.0,-2.0,0.0,0.25,4.0,3.0,0.0,0.10414796881377697,-1.0,6.430106911524766e-09,0.07437972387286079,2.7484486746473356
104,2.0,-2.0,0.0,0.25,4.0,4.0,0.0,0.0694134533405304,-1.0,4.284511284674765e-09,0.07965239554265786,3.6168453963084186
105,2.0,-2.0,0.0,0.25,4.0,5.0,0.0,0.16321709752082825,-1.0,1.637466008122714e-09,0.0730401767227728,2.2910196304472636
106,2.0,-2.0,0.0,0.25,4.0,6.0,0.0,0.1295558102428913,-1.0,1.0018527151090253e-08,0.08115473877439627,2.6329719654853143
107,2.0,-2.0,0.0,0.25,4.0,7.0,0.0,0.19989236071705818,-1.0,8.59659668993433e-09,0.11316993487602886,2.504084423491604
108,2.0,-2.0,0.0,0.25,4.0,8.0,0.0,0.38794708251953125,-1.0,3.314991680546776e-09,0.14797347542940764,2.056569809453654
109,2.0,-2.0,0.0,0.25,4.0,9.0,0.0,0.2901202440261841,-1.0,1.3738449385448511e-08,0.10676751777187075,2.128823235416883
110,2.0,-2.0,0.0,0.25,8.0,0.0,0.0,0.21190430968999863,-1.0,-1.8753783581459416e-10,0.09511687299623948,1.786653683344169
111,2.0,-2.0,0.0,0.25,8.0,1.0,0.0,0.11228895001113415,-1.0,1.2487795479880484e-08,0.06165213708272427,1.9016260765765858
112,2.0,-2.0,0.0,0.25,8.0,2.0,0.0,0.20869344472885132,-1.0,5.59327937847911e-09,0.09578211342230719,1.963471636609011
113,2.0,-2.0,0.0,0.25,8.0,3.0,0.0,0.248306006193161,-1.0,3.6961897467510022e-09,0.1176433604585288,1.8803284524147108
114,2.0,-2.0,0.0,0.25,8.0,4.0,0.0,0.06198500096797943,-1.0,2.1957121508970225e-08,0.053785750953044234,2.327873963906296
115,2.0,-2.0,0.0,0.25,8.0,5.0,0.0,0.14607854187488556,-1.0,5.878510389574835e-09,0.0629537451890689,2.2599486984897803
116,2.0,-2.0,0.0,0.25,8.0,6.0,0.0,0.10076549835503101,-1.0,2.6524625347991324e-09,0.08235877446411055,2.041645535350405
117,2.0,-2.0,0.0,0.25,8.0,7.0,0.0,0.1996707133948803,-1.0,1.3572774810400836e-08,0.10545213185761251,1.8465397268474815
118,2.0,-2.0,0.0,0.25,8.0,8.0,0.0,0.1277269832789898,-1.0,-2.1090537376903802e-10,0.07406555554141342,2.054569893623894
119,2.0,-2.0,0.0,0.25,8.0,9.0,0.0,0.276964507997036,-1.0,7.318879297844985e-09,0.1189445000697463,2.0242634681836345
120,2.0,-2.0,0.0,0.25,16.0,0.0,-0.0319679519161582,0.27236782759428024,-0.7652589720414575,-5.71316561049671e-09,0.14394228982689714,1.6203412545193474
